Title,Authors,Published Year,Number of Pages,Cover Image,Subjects
Data Science,"Tiffany-Anne Timbers, Trevor Campbell, Melissa Lee",2022,N/A,https://covers.openlibrary.org/b/id/13190236-M.jpg,Mathematics
Ace the Data Science Interview,"Nick Singh, Kevin Huo",2021,N/A,https://covers.openlibrary.org/b/id/11942032-M.jpg,
Data Science for Business,"Foster Provost, Tom Fawcett",2013,N/A,https://covers.openlibrary.org/b/id/7440864-M.jpg,"Data mining, Business, data processing, Big data, Information science, Business, Data processing, Commerce, Electronic Data Processing, Sciences de l'information, Business Intelligence"
Data science from scratch,Joel Grus,2015,N/A,https://covers.openlibrary.org/b/id/12672936-M.jpg,"Python (Computer program language), Data structures (Computer science), Database management, Mathematics, Data mining, Python (computer program language), Python (Langage de programmation), Bases de données, Gestion, Structures de données (Informatique), Exploration de données (Informatique), Mathématiques, BUSINESS & ECONOMICS, Management, Reference, Skills, Engineering & Applied Sciences, Computer Science, Data modeling & design, Data processing, General, Forecasting, Econometrics, Office automation, Com062000, Cs.decis_scs.bus_fcst, Cs.ecn.forec_econo, Cs.offc_tch.simul_prjct"
NASA/DoD aerospace knowledge diffusion research project,Thomas E. Pinelli,1990,N/A,https://covers.openlibrary.org/b/id/8936636-M.jpg,"Aeronautical engineering, Aeronautics, Aerospace engineering, Aerospace engineers, Aerospace industry, Aerospace technology transfer, Aircraft design, Aircraft engines, Aircraft industry, American Institute of Aeronautics and Astronautics, Avionics, Biotechnology, Commercial aircraft, Communication, Communication of technical information, Construction Materials, Cultural resources, Data acquisition, Databases, Defense program, Documentation, Economic conditions, Economic development, Education, Electric equipment, Engineers, Federal budgets, Flight crews, Flight tests, Format, Government policy, Histories, Human factors engineering, Industries, Information Systems, Information dissemination, Information services, Information storage and retrieval systems, Information transfer, Instructors, International cooperation, International relations, Japan, Knowledge, Maintenance, Manufacturing, Marketing, Materials science, NASA programs, Personnel development, Policies, Political planning, Procedures, Propulsion, Reports, Research, Research and development, Science, Scientists, Semiconductors (Materials), Social factors, Students, Surveys, Technical writing, Technological innovations, Technology transfer, Technology utilization, United States, User requirements"
Ender's Game,Orson Scott Card,1985,N/A,https://covers.openlibrary.org/b/id/12996033-M.jpg,"New York Times bestseller, nyt:mass_market_paperback=2011-07-30, military education, end of the world, prize:nebula, hegemony, space warfare, child soldiers, The Ender Quintet, science fiction, automation, data processing, aliens, Military art and science, Hermanos, Maniobras de guerra, Brothers and sisters, Open Library Staff Picks, Genetic engineering, Fiction, Hugo Award Winner, award:hugo_award=novel, Ficción, Ciencia-ficción, award:hugo_award=1986, War games, Long Now Manual for Civilization, American Science fiction, Children's stories, American, Artificial intelligence, Ender Wiggin (Fictitious character), Reading Level-Grade 7, Reading Level-Grade 9, Reading Level-Grade 8, Reading Level-Grade 11, Reading Level-Grade 10, Reading Level-Grade 12, Wiggin, ender (fictitious character), fiction, Battle school (imaginary place), fiction, Fiction, science fiction, hard science fiction, Brothers and sisters, fiction, Science-Fiction-Literatur, Krieg, Amerikanisches Englisch, Außerirdische Intelligenz, award:nebula_award=novel, Peter Wiggin (Fictitious character), Siblings, fiction"
Essays,Francis Bacon,1618,N/A,https://covers.openlibrary.org/b/id/8236351-M.jpg,"Aphorisms and apothegms, Classical Mythology, Early works to 1800, English essays, Good and evil, Logic, Methodology, Modern Philosophy, Renaissance Philosophy, Science, Translations into French, Translations into Italian, Translations into Latin (Medieval and Modern Latin), Utopias, Early modern, Philosophy, English literature, Fiction, Essays, Essays (single author), English essays, history and criticism, Fiction, short stories (single author), Conduct of life, Early works to 1900, Translations into Latin (Medieval and modern)"
Pride and Prejudice,Jane Austen,1813,N/A,https://covers.openlibrary.org/b/id/14348537-M.jpg,"British and irish fiction (fictional works by one author), Brothers and sisters, Children's fiction, Courtship, Drama, English fiction, English literature, Families, Family, Family life, Family relations, Fiction, Fiction Classics, History, Interpersonal relations, Juvenile fiction, Literary Fiction, love stories, manners, Manners and customs, marriage, Romance, Sisters, Social classes, Social life and customs, Upper class, wealth, Women in England, young ladies, Young women, entail, Young women, fiction, Sisters, fiction, Fiction, family life, general, England, fiction, Man-woman relationships, fiction, Bennet, elizabeth (fictitious character), fiction, Darcy, fitzwilliam (fictitious character), fiction, Roman anglais, Classes sociales, Romans, nouvelles, Sœurs, Amours, Jeunes femmes, Familles, Mœurs et coutumes, Pride and prejudice (Austen, Jane), Clases sociales, Novela, Jóvenes (Mujeres), Cortejo amoroso, Hermanas, Cuentos de amor, Fiction, coming of age, Fiction, romance, general, Fiction, historical, general, Great britain, social life and customs, fiction, Readers, Prejudices, Romance fiction, Historical fiction, Classical literature, Domestic fiction, English language, textbooks for foreign speakers, Women, fiction, Adaptations, Gentry, Mate selection, General, Fiction, romance, historical, general, English literature (collections), Coloring books, Fiction, family life, Fiction, general, Language and languages, study and teaching, Emoticons, Drama (dramatic works by one author), Feelings, Class, Englisch, Roman, Sociala klasser i litteraturen, Prophecies, Bible, History of biblical events, Great britain, Reading level-grade 7, Reading level-grade 9, Reading level-grade 8, Reading level-grade 11, Reading level-grade 10, Reading level-grade 12, Elizabeth bennet (fictitious character), Large type books, Fiction, romance, historical, Austen, jane, 1775-1817, Literature and fiction (general), English literature, history and criticism, England, Художественная литература -- Великобритания -- Английская литература -- 1-ая пол. 19 в. -- Романы, Novel, Fitzwilliam Darcy (Fictitious character)"
Financial Management,United States. General Accounting Office,1987,N/A,N/A,"United States, Accounting, Evaluation, Auditing, United States. Army, Management, United States. Dept. of Defense, Appropriations and expenditures, Finance, U.S. Customs Service, Public Finance, United States. Air Force, Administrative agencies, Costs, Inventory control, Training of, United States. Defense Finance and Accounting Service, Financial executives, Chief financial officers, Maintenance and repair, Certification, United States. Food and Drug Administration, Information storage and retrieval systems, United States. Navy, Defense contracts, National security, United States. Internal Revenue Service, Standards, Weapons systems, United States. National Aeronautics and Space Administration, Institutional care, United States. Dept. of Transportation, Customs administration, Government property, Rules and practice, Planning, United States. Dept. of the Army, United States. Dept. of Veterans Affairs, Cost control, Ammunition, Law and legislation, Equipment and supplies, Procurement, International cooperation, United States. Dept. of the Air Force, Special funds, Food adulteration and inspection, Drugs, Inspection, Data processing, Armed Forces, Ballistic missile defenses, Corrupt practices, White House Commission on the National Moment of Remembrance (U.S.), Mental retardation facilities, Federal aid to education, Tax administration and procedure, Health facilities, United States. Navy Dept, United States. Marine Corps, United States. Federal Housing Administration, Computer programs, Cash management, Military supplies, United States. Dept. of Education, United States. Office of Special Trustee for American Indians, United States. Agency for International Development, U.S. Custom Service, Developmentally disabled, Indians of North America, Estimates, United States. Defense Logistics Agency, Medicaid fraud, United States Postal Service, Prevention, Internal revenue, Retirement, Capital investments, Real estate management, Misleading financial statements, Forest management, Internal Auditing, Confiscations, Public contracts, United States. Federal Aviation Administration, United States. Army Materiel Command, Lumber trade, Warships, Loan servicing, Intergovernmental fiscal relations, September 11 Terrorist Attacks, 2001, Memorial Day, Supplies and stores, United States. Dept. of State, Financial statements, Military Airplanes, Military capital, United States. Air Force. Systems Command, United States. Army Industrial Fund, Waste in government spending, United States. General Services Administration, Student loans, Airlines, Equipment, Interest, Tax evasion, Disclosure in accounting, Tribal trust funds, Pay, allowances, United States. Dept. of Energy, United States. Army Tank-Automotive Command, United States. Bureau of Indian Affairs, Officials and employees, Prices, United States. Army. Missile Command, Payrolls, Tariff, Payment, Anniversaries, United States. Army Aviation Systems Command, Air traffic control, Defense industries, Mentally handicapped, United States. Forest Service, Executive departments, States, Searches and seizures, Aeronautics and state, People with mental disabilities, Inventories, United States. Department of Defense, United States. Department of the Air Force, United States. Department of Veterans Affairs"
Data science for dummies,Lillian Pierson,2015,N/A,https://covers.openlibrary.org/b/id/13285377-M.jpg,"Information retrieval, Databases, Information technology, Data mining"
Accounting Principles,Jerry J. Weygandt,1987,N/A,https://covers.openlibrary.org/b/id/1241487-M.jpg,"Accounting, Problems, exercises, Problemes et exercices, Comptabilite, Rechnungswesen, Accounting, data processing, Business, Science, Finance, Accounting, vocational guidance, Accounting, problems, exercises, etc., Accounting, self study"
Data Science,Ebonie Slough,2022,N/A,N/A,
Python Data Science Handbook,Jake VanderPlas,2016,N/A,https://covers.openlibrary.org/b/id/8512092-M.jpg,"Python (Computer program language), Data mining, COMPUTERS, General, Datenanalyse, Datenmanagement, Python"
Doing Data Science,"Rachel Schutt, Cathy O'Neil",2013,N/A,https://covers.openlibrary.org/b/id/7863312-M.jpg,"Information science, Cyberinfrastructure, Big data, Database management, Data mining, Data structures (Computer science), Time series, Data processing, Bayesian analysis, Regression analysis, Stochastic processes, Algorithms, Mathematical & statistical software, Databases, Com018000, Cs.cmp_sc.app_sw.db, Information visualization"
Spatial Data Science,"Wilson, John P.",2024,N/A,N/A,
Thinking Data Science,Poornachandra Sarang,2022,N/A,N/A,
